date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-04-09,OBEROIRLTY.NS,1651.46,1676.23,1626.69,68.1,1.55,CLOSED,1650.46,-0.06%,1676.23,+1.50%,WIN,2026-07-22T00:50:50.098856
2026-05-25,OBEROIRLTY.NS,1712.4,1738.09,1686.71,61.9,1.59,CLOSED,1713.8,+0.08%,1686.71,-1.50%,LOSS,2026-07-22T00:50:50.099181
2026-06-24,OBEROIRLTY.NS,1753.1,1779.4,1726.8,64.7,2.16,CLOSED,1768.4,+0.87%,1779.4,+1.50%,WIN,2026-07-22T00:50:50.099422
2026-07-02,OBEROIRLTY.NS,1864.7,1892.67,1836.73,76.4,2.41,CLOSED,1885.0,+1.09%,1892.67,+1.50%,WIN,2026-07-22T00:50:50.099498
2026-02-19,ONGC.NS,274.65,278.77,270.53,66.2,1.84,CLOSED,277.4,+1.00%,278.77,+1.50%,WIN,2026-07-22T00:50:50.101969
2026-04-08,ONGC.NS,285.5,289.78,281.22,62.3,1.63,CLOSED,284.9,-0.21%,289.78,+1.50%,WIN,2026-07-22T00:50:50.102296
2026-04-28,ONGC.NS,301.3,305.82,296.78,72.7,2.44,CLOSED,303.9,+0.86%,305.82,+1.50%,WIN,2026-07-22T00:50:50.102446
2026-04-22,OFSS.NS,7900.17,8018.67,7781.67,72.3,2.1,CLOSED,8195.22,+3.73%,8195.22,+3.73%,WIN,2026-07-22T00:50:50.118211
2026-05-27,OFSS.NS,10299.5,10453.99,10145.01,77.6,1.82,CLOSED,10299.5,+0.00%,10299.5,+0.00%,LOSS,2026-07-22T00:50:50.118496
2026-06-24,OFSS.NS,10468.5,10625.53,10311.47,68.9,2.84,CLOSED,10504.0,+0.34%,10625.53,+1.50%,WIN,2026-07-22T00:50:50.118713
2026-06-25,OFSS.NS,10974.5,11139.12,10809.88,74.5,3.88,CLOSED,10974.5,+0.00%,10974.5,+0.00%,LOSS,2026-07-22T00:50:50.118733
2026-07-10,OFSS.NS,11651.0,11825.76,11476.24,74.9,1.6,CLOSED,11625.0,-0.22%,11825.76,+1.50%,WIN,2026-07-22T00:50:50.118862
2026-06-15,PHOENIXLTD.NS,1846.9,1874.6,1819.2,63.8,1.47,CLOSED,1867.5,+1.12%,1874.6,+1.50%,WIN,2026-07-22T00:50:50.154974
2026-06-24,PHOENIXLTD.NS,1912.3,1940.98,1883.62,66.9,1.21,CLOSED,1919.0,+0.35%,1940.98,+1.50%,WIN,2026-07-22T00:50:50.155244
2026-02-24,POLYCAB.NS,8082.15,8203.38,7960.92,67.7,3.05,CLOSED,8082.15,+0.00%,8203.38,+1.50%,WIN,2026-07-22T00:50:50.164397
2026-02-25,POLYCAB.NS,8309.08,8433.71,8184.44,72.2,2.95,CLOSED,8309.07,-0.00%,8433.71,+1.50%,WIN,2026-07-22T00:50:50.164418
2026-05-07,POLYCAB.NS,8960.48,9094.89,8826.08,75.2,3.95,CLOSED,8987.36,+0.30%,9094.89,+1.50%,WIN,2026-07-22T00:50:50.164910
2026-06-17,POLYCAB.NS,9879.62,10027.82,9731.43,69.7,2.38,CLOSED,9902.02,+0.23%,9905.5,+0.26%,WIN,2026-07-22T00:50:50.165232
